id,BuyingPower,NewChain,HAFT,CANBO_001,CANBO_002,CANBO_003,CANBO_004,CANBO_005,V1_001,O.K_001,O.K_002,O.K_003,O.K_004,V1_002,V1_003,V1_004,O.K_005,O.K_006,O.K_007,REHAH_001,WINMAK_001,WINMAK_002,REHAH_002,DAILYMAK_001,DAILYMAK_002,PopDenc,ChainDenc
"315","88","0",371.409753800551,724.216838604021,502.69533578771,1319.81403072597,1247.8949704235,1757.0370768946,1015.18495193805,1511.24453414538,994.355835369587,1332.42174390573,1818.81508061533,1970.01204738442,465.003590458419,1694.05572027515,670.867372141922,1033.8013864679,1880.71552449609,952.748409454471,966.343947307109,819.54944744796,2484.20028320966,653.724611704283,1708.18774117388,0.8,0.2
"316","63","0",436.717650961821,722.235916074193,587.816558307239,1370.9750879787,1347.27265694437,1836.00986050612,915.321876928693,1575.61565564158,1026.90281380842,1420.21181834927,1918.7251060331,2055.63438269086,543.094244911042,1793.90640824,625.588109719157,1129.44957909187,1964.38121919865,981.24535068262,1061.61148159979,720.059141110594,2575.35150239453,620.902731316627,1801.26818381116,0.8,0.2
"317","63","0",513.336300478473,734.012373002373,677.029361362405,1427.32303512075,1446.7411969648,1916.95066359793,815.501422332999,1643.55835844779,1067.86234984594,1509.52649535228,2018.64768525263,2142.50616725859,627.44651138265,1893.77673773065,593.862524565316,1225.79856704303,2049.5148158598,1018.80817312254,1157.6838873974,620.744562101063,2667.13973635396,603.07486808662,1895.05764985046,0.8,0.2
"318","36","0",989.301262494617,944.073461589172,902.098408864214,171.295650625848,1048.04445039383,567.931366304627,2151.58633942189,163.9252819651,541.538829163094,567.700447523394,1430.09841581653,874.527050245062,909.923464446745,1334.56793174996,1258.08452357571,1428.80425179098,759.052700683078,600.814895605149,1414.09352333155,1911.02285935627,1455.9255983852,1171.57530803574,1910.60253061384,0.3,0.98
"319","58","0",596.926084152806,758.906026876706,768.910881006563,1488.26883740968,1546.28305501527,1999.62051360943,715.741415300263,1714.64812263299,1116.30880472346,1600.11049296521,2118.58104019826,2230.48141521618,715.850283957501,1993.66375509823,577.927044496682,1322.69521240472,2135.94079852316,1064.47756689193,1254.37624053442,521.706069975151,2759.50141811531,601.575552027439,1989.4558628668,0.65,0.2
"320","63","0",933.475100256687,853.399743215054,863.995921680445,82.9927883792484,1093.70048854018,667.967866201081,2067.95037698261,255.848009002036,446.017967465568,635.468062260046,1502.82438992301,974.353615539545,864.040179856563,1403.29216275327,1167.885164754,1445.08625837087,858.921318724689,505.938029001837,1425.74207123578,1827.21472437985,1555.88750690002,1081.95873156555,1953.70044584159,0.8,0.98
"321","51","0",684.939469471352,795.686680001538,862.608752033168,1553.27136773088,1645.88492620699,2083.81363266339,616.071215211524,1788.50971685027,1171.3135487071,1691.75992683213,2218.52371298937,2319.43456652919,806.975132550446,2093.56506993132,579.086684016182,1420.02740750009,2223.50846859598,1117.2598718018,1351.55548882659,423.137560946059,2852.38084121597,616.523916115608,2084.3801151834,0.8,0.2
"322","89","0",885.465609596629,765.063629757323,836.188477170544,66.6948562249953,1146.28928739055,768.004481659983,1985.83196300402,352.221095108522,353.007872135569,710.894017000362,1578.54223383676,1074.21931993664,827.758997933406,1475.60190964002,1079.42098804724,1468.0196822519,958.825029195145,413.500722575896,1444.24208686631,1745.11711990156,1655.85847183085,994.331690618763,2000.8757104231,0.8,0.98
"323","51","0",775.872496342311,842.799478842358,957.589942038681,1621.84292312152,1745.53653519756,2169.35267091018,516.542803933831,1864.81380800721,1231.99847254419,1784.31062700102,2318.47449699651,2409.25730537614,899.994902029413,2193.47872698377,597.241866530989,1517.71135557258,2312.08810779655,1176.19789078616,1449.12367839843,325.466311666744,2945.72903130847,646.780543979453,2179.76168227879,0.8,0.2
"324","92","0",846.603643756838,679.976765173971,819.724454922088,148.402814570443,1204.90343094995,868.041168485848,1905.42731156229,450.195489891717,265.16388828619,791.792729529482,1656.84180980445,1174.11417326342,802.38350095982,1550.99576470883,993.155775980039,1497.29892227523,1058.75389472356,325.587479231085,1469.33479532802,1664.98309339898,1755.83694414927,909.269562674916,2051.84710738141,0.8,0.2
